Course Code,Major/Minor Name,Structure
B-ARTS,History minor,"Structure 75 credit points This minor requires the completion of: 25 credit points of Level 1 subjects, comprising of: 25 credit points of Level 1 electives OR 12.5 credit points of Level 1 electives and 12.5 credit points of Arts Discovery 25 credit points of Level 2 electives 25 credit points of Level 3 electives Level 1 electives HIST10012, HIST10015, HIST10016, HIST10017 Level 2 electives HIST20013, HIST20034, HIST20052, HIST20059, HIST20060, HIST20065, HIST20068, HIST20071, HIST20072, HIST20080, HIST20084, HIST20086, HIST20087, HIST20088, HIST20089, HIST20090, HIST20091, HPSC20002 Level 3 electives HIST30004, HIST30006, HIST30010, HIST30051, HIST30059, HIST30064, HIST30065, HIST30066, HIST30068, HIST30074, HIST30076, HIST30077, HIST30078, HPSC30034 Links http://shaps.unimelb.edu.au/history "
B-ARTS,History and Philosophy of Science minor,"Structure 75 credit points This minor requires the completion of: 25 credit points of Level 1 subjects, comprising of: 25 credit points of Level 1 electives OR 12.5 credit points of Level 1 electives and 12.5 credit points of Arts Discovery 25 credit points of Level 2 electives 25 credit points of Level 3 electives Level 1 electives HPSC10001, HPSC10002 Level 2 electives HPSC20015, HPSC20002, HPSC20009, HPSC20020, PHIL20033, HPSC20026, HPSC20023, HPSC20024, HPSC20025, HIST20080 Level 3 electives HPSC30037, HPSC30023, HPSC30034, HPSC30019, HPSC30038, HIST30004 Students are recommended to take one of the following subject sequences within their minor: Methodological Approaches to History and Philosophy of Science: HPSC30023, HPSC20026, HPSC30034 History of Science: HPSC20015 Science, Technology and Society: HPSC10003, HPSC20009, HPSC30023 Life Sciences: HPSC20002 Minds, Belief and History: HPSC20015, HPSC20020, HPSC30019, HPSC30034 Philosophy of Science: HPSC20020, HPSC20026 Links http://shaps.unimelb.edu.au/history-philosophy-science "
B-ARTS,Indigenous Studies minor,"Structure 75 credit points This minor requires the completion of: 25 credit points of Level 1 subjects, comprising of: 25 credit points of Level 1 electives OR 12.5 credit points of Level 1 electives and 12.5 credit points of Arts Discovery 25 credit points of Level 2 Core Subjects 25 credit points of Level 3 Selective and elective subjects including A minimum of 12.5 credit points of Level 3 Selective Subjects Notes: The Level 3 elective subject MULT30022 Indigenous Engineering and Design must be taken within the breadth component of the degree. Level 1 electives INDG10001, INDG10002 Level 2 Core Subjects INDG20001, INDG20002 Level 3 Selective Subjects INDG30002, INDG30003 Level 3 electives AHIS30005, INDG30004, GEOG30025, HIST30074, MULT30017, MULT30022, POLS30028 Links http://www.culture-communication.unimelb.edu.au/study/indigenous-studies "
B-ARTS,Indonesian Studies minor,"Structure 75 credit points Students will have their appropriate entry point determined by the Indonesian Studies Program, based on evidence of prior learning and/or results of a placement test as required. Please refer the following link for further information: Link The entry points for this minor are: Entry Point 1: Students who have never studied Indonesian before or have only rudimentary knowledge of the language usually enter the progression at Indonesian 1. Entry Point 3: Students who have completed VCE Indonesian (Second Language), Standard IB Indonesian or have an equivalent language level usually enter the progression at Indonesian 3. Entry Point 5: Students who perform at an advanced level in Indonesian, for example those who have completed VCE Indonesian (First Language) or have lived or studied in Indonesia, usually enter at Indonesian 5. Advanced Entry Point: Students with a very advanced level of language study, including for example those who attended several years of Indonesian or Malay medium school or have worked several years in an Indonesian or Malay speaking environment would normally enter the Advanced Indonesian entry point. The Advanced Indonesian entry point is only available as a minor. This minor requires the completion of either: Entry Point 1 25 credit points of EP1 Level 1 core subjects 25 credit points of EP1 Level 2 core subjects 25 credit points of EP1 Level 3 core subjects OR Entry Point 3 25 credit points of EP3 Level 1 core subjects 25 credit points of EP3 Level 2 core subjects 25 credit points of EP3 Level 3 selectives OR Entry Point 5 25 credit points of EP5 Level 1 core subjects 25 credit points of EP5 Level 2 selectives 25 credit points of EP5 Level 3 selectives Students complete level 3 selectives that they have not previously completed at Level 2. OR Advanced Entry Point 25 credit points of AdvEP Level 1 selectives 12.5 credit points of AdvEP Level 2 selectives Students complete level 2 selectives that they have not previously completed at Level 1. 12.5 credit points of Level 2 electives 25 credit points of AdvEP Level 3 selectives Students complete level 3 selectives that they have not previously completed at Level 1 or 2. Indonesian Studies Entry Point 1 Level 1 core subjects – Entry Point 1 INDO10005, INDO10006 Level 2 core subjects – Entry Point 1 INDO20006, INDO20007 Level 3 core subjects – Entry Point 1 INDO30011, INDO30007 Indonesian Studies Entry Point 3 Level 1 core subjects – Entry Point 3 INDO10001, INDO10002 Level 2 core subjects – Entry Point 3 INDO20008, INDO20009 Level 3 selectives – Entry Point 3 INDO30006, INDO30018, INDO30019, INDO30020 Indonesian Studies Entry Point 5 Level 1 core subjects – Entry Point 5 INDO10003, INDO10004 Level 2 selectives – Entry Point 5 INDO20014, INDO20015, INDO20016, INDO20017 Level 3 selectives – Entry Point 5 INDO30006, INDO30018, INDO30019, INDO30020 Indonesian Studies  Advanced Entry Point Level 1 selectives – Advanced Entry Point INDO10011, INDO10012, INDO10013, INDO10014 Level 2 selectives – Advanced Entry Point INDO20014, INDO20015, INDO20016, INDO20017 Level 2 electives INDO20001, INDO20018, INDO20020, INDO20019 Level 3 selectives – Advanced Entry Point INDO30006, INDO30018, INDO30019, INDO30020 Links http://www.asiainstitute.unimelb.edu.au/study/indonesian "
B-ARTS,Islamic Studies minor,"Structure 75 credit points This minor requires the completion of: 25 credit points of Level 1 subjects, comprising of: 25 credit points of Level 1 electives OR 12.5 credit points of Level 1 electives and 12.5 credit points of Arts Discovery 12.5 credit points of Level 2 core subject 12.5 credit points of Level 2 electives 25 credit points of Level 3 electives Level 1 electives ISLM10003, ISLM10002 Level 2 core subject ISLM20003 Level 2 electives ASIA20003, JEWI20006, JEWI20007, ISLM20015, ISLM20016, POLS20025, INDO20017, ASIA20007 Level 3 electives ASIA30003, ISLM30003, ISLM30018, SPAN30022, ISLM30021 Links http://www.asiainstitute.unimelb.edu.au/study/islamic_studies "
B-ARTS,Italian Studies minor,"Structure 75 credit points Students will have their appropriate entry point determined by the Italian Studies program, based on evidence of prior learning and/or results of a placement test as required. Please refer to the following link for further information: Link The entry points for this minor are: Italian Studies 1 entry point: for students who have very little or no background in the Italian language Italian Studies 3 entry point: usually for students who have undertaken four or five years of secondary school Italian Italian Studies 5 entry point: usually for VCE Italian students Italian Studies 7 entry point: usually for native speakers or near-native speakers of Italian, or for candidates who have spent a number of years in an Italian speaking country This minor requires the completion of either: Entry Point 1 25 credit points of EP1 Level 1 Core subjects 25 credit points of EP1 Level 2 Core subjects 12.5 credit points of EP1 Level 3 Core subjects and 12.5 credit points of Level 3 Electives OR Entry Point 3 25 credit points of EP3 Level 1 Core subjects 25 credit points of EP3 Level 2 Core subjects 12.5 credit points of EP3 Level 3 Core subjects and 12.5 credit points of Level 3 Electives OR Entry Point 5 25 credit points of EP5 Level 1 Core subjects 25 credit points of EP5 Level 2 Core subjects 12.5 credit points of EP5 Level 3 Core subjects and 12.5 credit points of Level 3 Electives OR Entry Point 7 25 credit points of EP7 Level 1 Core subjects 25 credit points of EP7 Level 2 Core subjects 25 credit points of Level 3 Electives Subject Options Italian Studies Entry Point 1 Level 1 Core subjects - Entry Point 1 ITAL10004, ITAL10005, ITAL10008 Level 2 Core subjects - Entry Point 1 ITAL20007, ITAL20008 Level 3 Core subjects - Entry Point 1 ITAL30003 Italian Studies Entry Point 3 Level 1 Core subjects - Entry Point 3 ITAL10001, ITAL10002 Level 2 Core subjects - Entry Point 3 ITAL20011, ITAL20010 Level 3 Core subjects - Entry Point 3 ITAL30015 Italian Studies Entry Point 5 Level 1 Core subjects - Entry Point 5 ITAL10006, ITAL10007 Level 2 Core subjects - Entry Point 5 ITAL20002, ITAL20003 Level 3 Core subjects - Entry Point 5 ITAL30001 Italian Studies Entry Point 7 Level 1 Core subjects - Entry Point 7 ITAL10009, ITAL10010 Level 2 Core subjects - Entry Point 7 ITAL20001, ITAL20012 Students may substitute ITAL20001 Italian Cultural Studies B for either Contemporary Italy: Study Abroad (ITAL20004) or Languages of Venice: Study Abroad (ITAL20006). ITAL20004 and ITAL20006 are selection based and students will need to be selected into one of these subjects. To substitute ITAL20009 students will need to submit an Enrolment Variation form and attach the outcome email from the Faculty of Arts confirming their selection into either ITAL20004 or ITAL20006. Link Level 3 Electives ITAL30005, ITAL30006, ITAL30007, ITAL30010, ITAL30012, ITAL30016 Links http://languages-linguistics.unimelb.edu.au/ "
B-ARTS,Japanese Societies minor,"Structure 75 credit points This minor requires the completion of: 12.5 credit points of Level 1 electives 12.5 credit points of Level 1 Japanese language subjects (where it is not counted towards another major/minor) Note: Level 1 language subjects will be determined by the Japanese Program, based on evidence of prior learning and/or results of a placement test as required. Placement Test information here: Link 12.5 credit points of Level 2 Core Subject 12.5 credit points of Level 2 electives 12.5 credit points of Level 3 Selective Subjects 12.5 credit points of Level 3 electives Level 1 electives ASIA10001, ASIA10002 Level 1 Japanese language subjects JAPN10001, JAPN10002, JAPN10007, JAPN10008, JAPN10003, JAPN10004, JAPN10005, JAPN10006 Level 2 Core Subject JAPN20005 Level 2 electives ASIA20001, ASIA20003, AHIS20021 Level 3 Selective Subjects JAPN30002, ASIA30005 Level 3 electives ASIA30003, ASIA30004 "
B-ARTS,Japanese Studies minor,"Structure 75 credit points Students will have their appropriate entry point determined by the Japanese Studies program, based on evidence of prior learning and/or results of a placement test as required. Please refer to the following link for further information: Link The entry points for this minor are: Japanese Studies 1 entry point: Students who have never studied Japanese before or have only rudimentary knowledge of the language usually enter the progression at Japanese 1 Japanese Studies  3 entry point: Students who have completed VCE Japanese (Second language), IB or have an equivalent language level usually enter the progression at Japanese 3 Japanese Studies  5 entry point: Students who perform at an intermediate level in Japanese, for example those who have completed VCE or IB with excellent results or have an equivalent language level usually enter the progression at Japanese 5 Japanese Studies 7 entry point: Students who perform at a advanced level in Japanese, for example those who hold N3 of JLPT (Japanese Language Proficiency Test) or have lived or studied in Japan usually enter the progression at Japanese 7 Super advanced Japanese: Students with a very advanced level of language study, including for example those who attended several years of Japanese medium school or have spent several years in a Japanese speaking environment would normally begin their study of Japanese with one of the advanced language subjects This minor requires the completion of either: Entry Point 1 25 credit points of EP1 Level 1 Core subjects 25 credit points of EP1 Level 2 Core subjects 25 credit points of EP1 Level 3 Core subjects OR Entry Point 3 25 credit points of EP3 Level 1 Core subjects 25 credit points of EP3 Level 2 Core subjects 25 credit points of EP3 Level 3 Core subjects OR Entry Point 5 25 credit points of EP5 Level 1 Core subjects 25 credit points of EP5 Level 2 Core subjects 25 credit points of EP5 Level 3 subjects OR Entry Point 7 25 credit points of EP7 Level 1 Core subjects 25 credit points of EP7 Level 2 Core subjects 25 credit points of EP7 Level 3 Core subjects OR Super Advanced Entry Point 25 credit points of Super Advanced Level 1 Core subjects 25 credit points of Super Advanced Level 2 Core subjects 25 credit points of Super Advanced Level 3 Core subjects Subject Options Japanese Studies Entry Point 1 Level 1 Core subjects - Entry Point 1 JAPN10001, JAPN10002 Level 2 Core subjects - Entry Point 1 JAPN20007, JAPN20008 Level 3 Core subjects - Entry Point 1 JAPN30007, JAPN30008 Japanese Studies Entry Point 3 Level 1 Core subjects - Entry Point 3 JAPN10007, JAPN10008 Level 2 Core subjects - Entry Point 3 JAPN20013, JAPN20014 Level 3 Core subjects - Entry Point 3 JAPN30005, JAPN30006 Japanese Studies Entry Point 5 Level 1 Core subjects - Entry Point 5 JAPN10003, JAPN10004 Level 2 Core subjects - Entry Point 5 JAPN20003, JAPN20004 Level 3 subjects - Entry Point 5 JAPN30004, JAPN30011, JAPN30012 Japanese Studies Entry Point 7 Level 1 Core subjects - Entry Point 7 JAPN10005, JAPN10006 Level 2 Core subjects - Entry Point 7 JAPN20011, JAPN20012 Level 3 Core subjects - Entry Point 7 JAPN30004, JAPN30018 Japanese Studies Super Advanced Entry Point Level 1 Core subjects - Super Advanced JAPN10009, JAPN10010 Level 2 Core subjects - Super Advanced JAPN20005, JAPN20018 Level 3 Core subjects - Super Advanced JAPN30002, JAPN30018 Links http://www.asiainstitute.unimelb.edu.au/study/japanese "
B-ARTS,Knowledge and Learning minor,"Structure 75 credit points This minor requires the completion of: 25 credit points of Level 1 core subjects 25 credit points of Level 2 core subjects 25 credit points of Level 3 core subjects Note: all Education subjects in this minor are required to be taken within the breadth component of the degree Level 1 core subjects HPSC10002, EDUC10050 Level 2 core subjects HPSC20026, EDUC20081 Level 3 core subjects EDUC30071, HPSC30035 Links http://ba.unimelb.edu.au/about/study-area/knowledge-and-learning "
B-ARTS,Korean Studies minor,"Structure 75 credit points Students will have their appropriate entry point determined by the Korean Studies program, based on evidence of prior learning and/or results of a placement test as required. Please refer to the following link for further information: Link Two entry points (EP) for this minor are: Entry Point 1: Students who have never studied Korean before or have only rudimentary knowledge of the language usually enter the progression at Korean 1 Entry Point 3: Students who have completed VCE Korean (Second language), IB or have an equivalent language level usually enter the progression at Korean 3 This minor requires the completion of either: Entry Point 1 25 credit points of Level 1 core subjects - Entry Point 1 25 credit points of Level 2 electives - Entry Point 1 25 credit points of Level 3 electives - Entry Point 1 OR Entry Point 3 25 credit points of Level 1 core subjects - Entry Point 3 25 credit points of Level 2 electives - Entry Point 3 25 credit points of Level 3 electives - Entry Point 3 Subject Options Entry Point 1 Level 1 core subjects - Entry point 1 KORE10001, KORE10002 Level 2 electives - Entry point 1 KORE20003, KORE20004, KORE20002 Level 3 electives - Entry point 1 KORE30001, KORE30002, ASIA30005, KORE30003, KORE30004 Entry Point 3 Level 1 core subjects - Entry point 3 KORE10003, KORE10004 Level 2 electives - Entry point 3 KORE20005, KORE20006, KORE20002 Level 3 electives - Entry point 3 KORE30001, KORE30002, ASIA30005 Links https://arts.unimelb.edu.au/asia-institute/study/korean-studies "
B-ARTS,Law and Justice minor,"Structure 75 credit points This minor requires the completion of: 12.5 credit points of Level 1 core subject 12.5 credit points of Level 2 core subject 12.5 credit points of Level 2 electives 12.5 credit points of Level 3 core subject 25 credit points of Level 3 electives Note: all Law subjects in this minor are required to be taken within the breadth component of the degree Level 1 core subject CRIM10002 Level 2 core subject LAWS20008 Level 2 electives CRIM20002, CRIM20010 Level 3 core subject CRIM30012 Level 3 electives LAWS30024, CRIM30001, CRIM30002, CRIM30013, ANTH30018 Links http://ba.unimelb.edu.au/about/law-and-justice "
B-ARTS,Linguistics and Applied Linguistics minor,"Structure 75 credit points This minor requires the completion of: 25 credit points of Level 1 subjects, comprising of: 25 credit points of Level 1 electives OR 12.5 credit points of Level 1 electives and 12.5 credit points of Arts Discovery 25 credit points of Level 2 electives 25 credit points of Level 3 electives *Note: LING10001 is the recommended background knowledge for most level 2 and level 3 subjects. Students are recommended to undertake LING10001 prior to higher level subjects. Level 1 electives LING10001, LING10002, LANG10001 Level 2 electives LING20003, LING20005, LING20006, LING20009, LING20010, LING20011 Level 3 electives EURO30001, LING30002, LING30003, LING30004, LING30007, LING30013, LING30014, LING30015 Notes Please note: Students cannot undertake this minor and the English Language Studies minor due to the ""Diversity of study"" course rule. Links http://languages-linguistics.unimelb.edu.au/ "
B-ARTS,Media and Communications minor,"Structure 75 credit points This minor requires the completion of: 25 credit points of Level 1 subjects, comprising of: 25 credit points of Level 1 electives OR 12.5 credit points of Level 1 electives and 12.5 credit points of Arts Discovery 25 credit points of Level 2 electives 25 credit points of Level 3 electives Level 1 electives MECM10003, MECM10006 Level 2 electives MECM20006, MECM20010, MECM20003, MECM20011, MECM20013, MECM20014, MECM20015 Level 3 electives MECM30015, MECM30016, MECM30004, MECM30013, MECM30017, CULS30006 Notes Not all Media and Communications subjects are available as breadth. Links http://www.culture-communication.unimelb.edu.au/study/mediacomm "
B-ARTS,Medieval and Early Modern Studies minor,"Structure 75 credit points This minor requires the completion of: 25 credit points of Level 1 electives 25 credit points of Level 2 electives 25 credit points of Level 3 electives Note: if MUSI10047 is taken in this minor, then it is required to be taken within the breadth component of the degree Please note some Language based subjects offered in this minor will have specific pre-requisites that are not included in this minor, please see individual subject entries for details of subject pre-requisites. Level 1 electives HPSC10001, HIST10016, POLS10003, MUSI10047 Level 2 electives AHIS20011, AHIS20021, CHIN20007, ENGL20033, FREN20010, FREN20020, HIST20052, HIST20072, HIST20080, HPSC20002, HPSC20015, ITAL20006, ITAL20009, PHIL20043 Level 3 electives AHIS30003, AHIS30022, AHIS30024, ENGL30046, FREN30012, FREN30018, HIST30006, HIST30051, HIST30068, HPSC30034, ITAL30007, ITAL30012 "
B-ARTS,Philosophy minor,"Structure 75 credit points This minor requires: 25 credit points of Level 1 subjects, comprising of: 25 credit points of Level 1 electives OR 12.5 credit points of Level 1 electives and 12.5 credit points of Arts Discovery 25 credit points of Level 2 electives 25 credit points of Level 3 electives Level 1 electives PHIL10002, PHIL10003, ARTS10004, MULT10021 Level 2 electives HPSC20026, PHIL20008, PHIL20030, PHIL20033, PHIL20039, PHIL20040, PHIL20041, PHIL20043, PHIL20044, PHIL20045, PHIL20046, PHIL20047, PHIL20048 Level 3 electives PHIL30024, PHIL30043, PHIL30052, PHIL30053, PHIL30054, PHIL30055 Links http://shaps.unimelb.edu.au/philosophy "
B-ARTS,Politics and International Studies minor,"Structure 75 credit points This minor requires the completion of: 25 credit points of Level 1 subjects, comprising of: 25 credit points of Level 1 electives OR 12.5 credit points of Level 1 electives and 12.5 credit points of Arts Discovery 25 credit points of Level 2 electives (Students are strongly encouraged to complete MULT20003) 25 credit points of Level 3 electives The subject MULT20003 is core in the Criminology, Politics and International Studies, and Sociology majors. Students who are completing a major and minor in any two of these disciplines can only count MULT20003 towards one major or minor. One additional Level 2 subject must be completed for the other major or minor. Level 1 electives POLS10001, INTS10001, POLS10003 Level 2 electives MULT20003, MULT20008, POLS20006, POLS20008, POLS20011, POLS20023, POLS20025, POLS20026, POLS20031 Level 3 electives ISLM30018, MULT30017, POLS30001, POLS30003, POLS30007, POLS30011, POLS30015, POLS30018, POLS30019, POLS30022, POLS30028, POLS30030, POLS30032, POLS30033, POLS30034, POLS30035, POLS30036 Links http://ssps.unimelb.edu.au/study-areas/political-science "
B-ARTS,Psychology minor,"Structure 75 credit points Psychology is available as both a 125 point APAC accredited major and as a 75 point (non-accredited) minor sequence of study within the BA. Students wishing to undertake further professional training in Psychology must take the prescribed 125 point APAC accredited Psychology major. This minor requires the completion of: 12.5 credit points of Level 1 core subjects - Group A and 12.5 credit points of Level 1 core subjects - Group B 25 credit points of Level 2 electives 25 credit points of Level 3 electives Level 1 core subjects - Group A PSYC10003, PSYC10006 Level 1 core subjects - Group B PSYC10004, PSYC10007 Level 2 electives PSYC20006, PSYC20008, PSYC20007, PSYC20009 Level 3 electives PSYC30012, PSYC30014, PSYC30016, PSYC30017, PSYC30018, PSYC30019, PSYC30020, PSYC30022, PSYC30023 Links http://www.psychologicalsciences.unimelb.edu.au/ "
B-ARTS,Russian Studies minor,"Structure 75 credit points Students will have their appropriate entry point determined by the Russian Studies program, based on evidence of prior learning and/or results of a placement test as required. Please refer to the following link for further information: Link The entry point for this minor is Russian Studies 1 entry point: for students who have very little or no knowledge of Russian This minor requires the completion of: Russian Studies 1 entry point 25 credit points of Level 1 Core subjects 25 credit points of Level 2 Core subjects 25 credit points of Level 3 Core subjects Subject Options Level 1 Core subjects RUSS10001, RUSS10002 Level 2 Core subjects RUSS20004, RUSS20005 Level 3 Core subjects RUSS30001, RUSS30006 Links http://languages-linguistics.unimelb.edu.au/ "
B-ARTS,Screen and Cultural Studies minor,"Structure 75 credit points This minor requires the completion of: 25 credit points of Level 1 subjects, comprising of: 25 credit points of Level 1 electives OR 12.5 credit points of Level 1 electives and 12.5 credit points of Arts Discovery 25 credit points of Level 2 electives 25 credit points of Level 3 electives Level 1 electives SCRN10001, CULS10005 Level 2 electives CULS20017, CULS20018, SCRN20011, CULS20014, SCRN20013, SCRN20014 Level 3 electives CULS30004, CULS30005, CULS30006, SCRN30001, SCRN30005, SCRN30004 Links http://www.culture-communication.unimelb.edu.au/study/screen-cultural "
B-ARTS,Sociology minor,"Structure 75 credit points This minor requires the completion of: 25 credit points of Level 1 subjects, comprising of: 25 credit points of Level 1 electives OR 12.5 credit points of Level 1 electives and 12.5 credit points of Arts Discovery 25 credit points of Level 2 electives (MULT20003 is strongly recommended) 25 credit points of Level 3 electives The subject MULT20003 is core in the Criminology, Politics and International Studies, and Sociology majors. Students who are completing a major and minor in any two of these disciplines can only count MULT20003 towards one major or minor. One additional Level 2 subject must be completed for the other major or minor. Level 1 electives SOCI10001, SOCI10003 Level 2 electives MULT20003, MULT20008, SOCI20014, SOCI20016, SOCI20017, SOCI20018, SOCI20019, SOTH20002, SOCI20020 Level 3 electives SOCI30001, SOCI30005, SOCI30009, SOCI30012, SOCI30013, SOCI30014, SOCI30015 Links http://ssps.unimelb.edu.au/study-areas/sociology-social-policy-and-social-theory "
B-ARTS,South Asian Studies minor,"Structure 75 credit points This minor requires the completion of: 25 credit points of Level 1 subjects, comprising of: 25 credit points of Level 1 elective subjects OR 12.5 credit points of Arts Discovery (if not already counted towards a Major) and 12.5 credit points of Level 1 elective subjects 25 credit points of Level 2 elective subjects 25 credit points of Level 3 elective subjects Level 1 Elective subjects GEOG10003, UNIB10021 Note: The Level 1 subject UNIB10021 is required to be taken within the breadth component of the degree. Level 2 Elective subjects GEOG20011, ISLM20015, POLS20023, UNIB20025 Note: The Level 2 subject UNIB20025 is required to be taken within the breadth component of the degree.  Upon successful completion of UNIB20025, students should submit an Enrolment Assistance form to have their study plan adjusted. Level 3 Elective subjects ANTH30018, ASIA30003, ASIA30004, ISLM30018 "
B-ARTS,Spanish and Latin American Studies minor,"Structure 75 credit points Students will have their appropriate entry point determined by the Spanish and Latin American Program, based on evidence of prior learning and/or results of a placement test as required. Please refer to the following link for further information: Link The entry points for this minor are: Entry Point 1: for students who have very little or no knowledge of Spanish. Entry Point 3: for students who have undertaken two or three years of secondary school Spanish or who have been admitted to the program after proving adequate knowledge of Spanish, adequate placement test results or equivalent. Entry Point 5: for students who have obtained VCE Spanish, adequate placement test results, or approved equivalent. This minor requires the completion of either: Entry Point 1 25 credit points of EP1 Level 1 core subjects 25 credit points of EP1 Level 2 - Spanish 3 & 4 25 credit points of EP1 Level 3 core subjects OR Entry Point 3 25 credit points of EP3 Level 1 core subjects 25 credit points of EP3 Level 2 core subjects 12.5 credit points of EP3 Level 3 core subject 12.5 credit points of Level 3 electives OR Entry Point 5 25 credit points of EP5 Level 1 core subjects 12.5 credit points of EP5 Level 2 core subject 12.5 credit points of Level 2 electives 25 credit points of Level 3 electives Level 1 core subjects – Entry Point 1 SPAN10001, SPAN10002 Level 2 core subjects – Entry Point 1 SPAN20002, SPAN20003, SPAN20027 Students either take both of SPAN20002 and SPAN20003, or just SPAN20027. Level 3 core subjects – Entry Point 1 SPAN30014, SPAN30015 Level 1 core subjects – Entry Point 3 SPAN10003, SPAN10004 Level 2 core subjects – Entry Point 3 SPAN20018, SPAN20019 Level 3 core subject – Entry Point 3 SPAN30016 Level 1 core subjects – Entry Point 5 SPAN10007, SPAN10008 Level 2 core subject – Entry Point 5 SPAN20022 Spanish electives SPAN20016, SPAN20024, SPAN20025, SPAN20026, LANG30001, SPAN30001, SPAN30012, SPAN30019, SPAN30020, SPAN30021, SPAN30022 Links http://languages-linguistics.unimelb.edu.au/ "
B-SCI,Agricultural Science,"Structure 50 credit points AGRI30038 AND Three of AGRI30030, AGRI30042, AGRI30016, AGRI30037, AGRI30045, AGRI30048, AGRI30046, ANSC30006 "
B-SCI,Animal Health and Disease,"Structure 50 credit points All of VETS30033, ANSC30001, ANSC30002, ANSC30006 "
B-SCI,Animal Science and Management,"Structure 50 credit points ANSC30009 AND Three of ANSC30003, ANSC30001, ANSC30002, ANSC30004, ANSC30006, ANSC30008, AGRI30045 Notes The major in Animal Science and Management major was previously known as the major in Domestic Animal Science (prior to 2011). This major has been modified from 2010 to 2011 with the removal of specific specialisations. Students who commenced the major prior to 2011 intending to complete a specific specialisation will not be disadvantaged as the specialisation within a major is not recorded on a student's Academic Transcript. Links http://fvas.unimelb.edu.au/study/courses "
B-SCI,Biochemistry and Molecular Biology,"Structure 50 credit points All of BCMB30010, BCMB30012 AND Two of BCMB30001, BCMB30002, BCMB30003, BCMB30004, BCMB30011, BIOM30003, MIIM30017 Notes A quota has been applied to a core subject in this major. "
B-SCI,Biomedical Engineering Systems,"Structure 50 credit points All of BMEN30008, BMEN30009, BMEN30010 AND One of BMEN30006, ELEN30012 Notes In addition to these four core subjects, students must complete either MAST20029 Engineering Mathematics OR both of MAST20009 Vector Calculus AND MAST20030 Differential Equations at Level 2. "
B-SCI,Biotechnology,Structure 50 credit points 
B-SCI,Cell and Developmental Biology,"Structure 50 credit points 50 credit points of prescribed Level 3 subjects including CEDB30002 AND Between one and three of BCMB30003, BIOL30001, BOTA30005, BTCH30003, CEDB30003, CEDB30004 AND A maximum of two of BCMB30002, BCMB30004, BIOL30002, BIOM30003, GENE30002, GENE30005, MIIM30002, NEUR30005, NEUR30002, PATH30001 "
B-SCI,Chemical Engineering Systems,"Structure 50 credit points All of ENGR30002, CHEN30001, CHEN30015, CHEN30016 Notes In addition to these four core subjects, students must complete either MAST20029 Engineering Mathematics OR both of MAST20009 Vector Calculus AND MAST20030 Differential Equations at Level 2. "
B-SCI,Chemistry,"Structure 50 credit points Notes It is recommended that students who plan to major in Chemistry also have completed the following: Mathematics and Statistics - two semesters of first year mathematics, for example MAST10005 Calculus 1, MAST10006 Calculus 2 and/or MAST10007 Linear Algebra. Physics - VCE Units 3/4 Physics or equivalent, for example PHYC10009: Foundations of Physics "
B-SCI,Civil Engineering Systems,"Structure 50 credit points All of CVEN30008, CVEN30010, CVEN30009, ENGR30002 Notes In addition to these four core subjects, students must complete either MAST20029 Engineering Mathematics OR both of MAST20009 Vector Calculus AND MAST20030 Differential Equations at Level 2. "
B-SCI,Climate and Weather,"Structure 50 credit points All of ATOC30004, ATOC30006, ATOC30003, ATOC30008 "
B-SCI,Computational Biology,"Structure 50 credit points All of MAST30032, MAST30033 AND Completion of a minimum of 25 credit points of Level 3 Electives Level 3 electives may be selected from the following Areas of Study: Anatomy (ANAT), Biochemistry and Molecular Biology (BCMB), Bioengineering Systems (BMEN), Botany (BOTA), Computer Science (COMP), Cell and Developmental Biology (CEDB), Environmental Science (EVSC), Ecology (ECOL), Genetics (GENE), Informatics (INFO), Mathematics and Statistics (MAST), Microbiology and Immunology (MIIM), Neuroscience (NEUR), Pathology (PATH), Pharmacology (PHRM), Physiology (PHYS), Zoology (ZOOL) Students are encouraged to consider enrolling in SCIE30001 if they are seeking a research project experience. Please visit the following webpage for further information relating to the subject's application process - https://science.unimelb.edu.au/students/research-project-subjects PLEASE NOTE: This major is no longer being offered to students from 2022 onwards. Students who commenced this major prior to 2022 and are planning to complete the Computational Biology major may continue to do so. Notes Students will be encouraged to complete a complementary study sequence in either biological/biomedical science, mathematics and statistics, or computer science. A third year subject in this complementary sequence or from a list of electives makes up the computational biology major. "
B-SCI,Computing and Software Systems,"Structure 50 credit points All of SWEN30006, COMP30023, COMP30022, COMP30026 "
B-SCI,Data Science,"Structure 50 credit points All of MAST30025, MAST30027, MAST30034, COMP30027 "
B-SCI,Digital Infrastructure Engineering Systems,"Structure 50 credit points All of CVEN30008, GEOM30009, GEOM30012, GEOM30014 "
B-SCI,Ecology and Evolutionary Biology,"Structure 50 credit points Completion of: Four of BOTA30002, BOTA30006, BOTA30004, ECOL30005, ECOL30007, EVSC30006, GENE30001, SCIE30001, ZOOL30004, ZOOL30006, ZOOL30007, ZOOL30009, ECOL30006 Including: A minimum of one of ECOL30005, ECOL30006 AND A minimum of one of GENE30001, ZOOL30004 AND A minimum of one of ZOOL30007, ZOOL30009, SCIE30001 Students who require ZOOL30009 in order to complete the major in Ecology and Evolutionary Biology, but who are experiencing financial difficulty should contact the subject coordinator to enquire about the possibility of scholarship support. "
