Course Code,"Majors, Minors & Specialisations"
DR-PHILMDH,"Majors, minors & specialisations Last updated: 17 October 2024"
GC-CLINED,"Majors, minors & specialisations Last updated: 10 November 2023"
546AA,"Majors, minors & specialisations Last updated: 17 October 2024"
GC-PCN,"Majors, minors & specialisations Last updated: 10 November 2023"
MC-COMACTS,"Majors, minors & specialisations Last updated: 10 November 2023"
MR-PHILMED,"Majors, minors & specialisations Last updated: 17 October 2024"
MC-CLINED,"Majors, minors & specialisations Last updated: 12 October 2024"
MC-GENCOUN,"Majors, minors & specialisations Last updated: 10 November 2023"
SC-PAECCN,"Majors, minors & specialisations Last updated: 14 December 2023"
MC-DOPTOM,"Majors, minors & specialisations Last updated: 19 December 2023"
GC-ENGGWRK,"Majors, minors & specialisations Last updated: 30 January 2024"
MR-PHILLAW,"Majors, minors & specialisations Last updated: 11 October 2024"
MC-ANAMGT,"Majors, minors & specialisations Last updated: 30 January 2024"
DH-LLD,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ETRENH,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-BMEDSC,"Majors, minors & specialisations Last updated: 15 October 2024"
GC-BFIREPM,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-CS,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-AHRC,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-THTRWRI,"Majors, minors & specialisations Last updated: 30 January 2024"
MR-PHILSCI,"Majors, minors & specialisations Last updated: 11 October 2024"
GC-PHTYEWH,"Majors, minors & specialisations Last updated: 5 September 2024"
MC-SCIEPI,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ENTRPSP,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-AGSC,"Majors, minors & specialisations Last updated: 30 January 2024"
DR-PHILBE,"Majors, minors & specialisations Last updated: 9 October 2024"
BH-AGR,"Majors, minors & specialisations Last updated: 30 January 2024"
SC-EHAC,"Majors, minors & specialisations Last updated: 30 January 2024"
SC-PUBHLTH,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-SCOM,"Majors, minors & specialisations Last updated: 30 January 2024"
SC-RPHASS,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-THTRDIR,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ACTSCEX,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-PUBHLTH,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ACTSC,"Majors, minors & specialisations Last updated: 30 January 2024"
DH-MUS,"Majors, minors & specialisations Last updated: 30 January 2024"
080CN,"Majors, minors & specialisations Last updated: 30 January 2024"
DH-AGRSC,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-PROFSC,"Majors, minors & specialisations Last updated: 30 January 2024"
DR-PHILSCI,"Majors, minors & specialisations Last updated: 9 October 2024"
DR-PHILAGR,"Majors, minors & specialisations Last updated: 9 October 2024"
GC-ADOLHW,"Majors, minors & specialisations The Graduate Certificate in Adolescent Health and Wellbeing has two options for specialisation - the Health Promotion or the Oncology specialisation. Prev: Course structure Next: Further study Last updated: 30 January 2024"
SC-PAADV,"Majors, minors & specialisations Last updated: 30 January 2024"
DH-VSC,"Majors, minors & specialisations Last updated: 30 January 2024"
SC-UCH,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-SUSTBUS,"Majors, minors & specialisations Last updated: 29 August 2024"
GC-GRINFRA,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-ECO,"Majors, minors & specialisations Last updated: 30 January 2024"
DR-PHILIK,"Majors, minors & specialisations Last updated: 9 October 2024"
702PA,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-CLINPSY,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-GRINFRA,"Majors, minors & specialisations Last updated: 30 January 2024"
702PA,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-ECO,"Majors, minors & specialisations Last updated: 30 January 2024"
SC-RESPRSC,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ANPNP,"Majors, minors & specialisations Last updated: 6 September 2024"
DH-VPA,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-AEMTRCS,"Majors, minors & specialisations Last updated: 30 January 2024"
842AA,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-ACTSC,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-AGSC,"Majors, minors & specialisations Last updated: 30 January 2024"
423AA,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ENGYSYS,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-SPCHPTH,"Majors, minors & specialisations Last updated: 30 January 2024"
GDA-JOURN,"Majors, minors & specialisations Last updated: 16 October 2024"
GC-BUSANA,"Majors, minors & specialisations Last updated: 30 January 2024"
PR-IAP,"Majors, minors & specialisations Last updated: 30 January 2024"
SC-DTM,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-ENTR,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-SCWR,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-BAMKTG,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-THTRDRA,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-GEOSC,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ECO,"Majors, minors & specialisations Last updated: 30 January 2024"
MR-PHILAGR,"Majors, minors & specialisations Last updated: 10 October 2024"
GC-PHTYPAE,"Majors, minors & specialisations Last updated: 5 September 2024"
MR-PHILVET,"Majors, minors & specialisations Last updated: 11 October 2024"
GC-BUSANA,"Majors, minors & specialisations Last updated: 30 January 2024"
294FN,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-BUSANA,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ACTSCEN,"Majors, minors & specialisations Last updated: 30 January 2024"
GDA-BLTENV,"Majors, minors & specialisations Last updated: 30 January 2024"
527CL,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ANPNP,"Majors, minors & specialisations Last updated: 6 September 2024"
842AA,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-ACTSC,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-DGBVRP,"Majors, minors & specialisations Last updated: 30 January 2024"
D-MATHSC,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-AGSC,"Majors, minors & specialisations Last updated: 30 January 2024"
DH-VPA,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-PHTYPFP,"Majors, minors & specialisations Last updated: 30 January 2024"
GDA-BLTENV,"Majors, minors & specialisations Last updated: 30 January 2024"
GDA-PSYCH,"Majors, minors & specialisations Psychology Prev: Course structure Next: Further study Last updated: 30 January 2024"
MC-AECOENH,"Majors, minors & specialisations Last updated: 13 September 2024"
MC-SCIEAR,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-DGBVRP,"Majors, minors & specialisations Last updated: 30 January 2024"
D-MATHSC,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-VPLMGT,"Majors, minors & specialisations Last updated: 16 October 2024"
MC-BAMKTG,"Majors, minors & specialisations Last updated: 30 January 2024"
746ST,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-SCIPHY,"Majors, minors & specialisations Last updated: 30 January 2024"
PR-SCM,"Majors, minors & specialisations Last updated: 30 January 2024"
PR-ANAMGT,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-GEOSC,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ECO,"Majors, minors & specialisations Last updated: 30 January 2024"
MR-PHILAGR,"Majors, minors & specialisations Last updated: 10 October 2024"
GC-PHTYPAE,"Majors, minors & specialisations Last updated: 5 September 2024"
MC-THTRDRA,"Majors, minors & specialisations Last updated: 30 January 2024"
MR-PHILVET,"Majors, minors & specialisations Last updated: 11 October 2024"
MR-IRCHEM,"Majors, minors & specialisations Last updated: 10 October 2024"
GC-SEXHLTH,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-BUSANA,"Majors, minors & specialisations Last updated: 30 January 2024"
294FN,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-DHW,"Majors, minors & specialisations Last updated: 29 August 2024"
MR-PHILLAW,"Majors, minors & specialisations Last updated: 11 October 2024"
527CN,"Majors, minors & specialisations Last updated: 24 September 2024"
MC-ANAMGT,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-ANAMGT,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ENVSC,"Majors, minors & specialisations Last updated: 2 February 2024"
MC-DMED,"Majors, minors & specialisations Last updated: 16 October 2024"
GC-ARBCULT,"Majors, minors & specialisations Last updated: 8 February 2024"
GD-PERIMED,"Majors, minors & specialisations Last updated: 8 February 2024"
MC-CU,"Majors, minors & specialisations Last updated: 8 February 2024"
N34AA,"Majors, minors & specialisations Last updated: 8 February 2024"
MC-CLIMSCI,"Majors, minors & specialisations Last updated: 9 October 2024"
N12AA,"Majors, minors & specialisations Last updated: 9 February 2024"
GC-HLTHEEE,"Majors, minors & specialisations Last updated: 9 February 2024"
893AA,"Majors, minors & specialisations Last updated: 9 February 2024"
B-SCIEXT,"Majors, minors & specialisations Last updated: 16 October 2024"
GC-GERON,"Majors, minors & specialisations |*Standard Pathway, Gerontology Nursing*| Prev: Course structure Last updated: 7 October 2024"
MC-ENVSC,"Majors, minors & specialisations Last updated: 2 February 2024"
MC-DMED,"Majors, minors & specialisations Last updated: 16 October 2024"
MC-CU,"Majors, minors & specialisations Last updated: 8 February 2024"
GC-ARBCULT,"Majors, minors & specialisations Last updated: 8 February 2024"
GD-PERIMED,"Majors, minors & specialisations Last updated: 8 February 2024"
N34AA,"Majors, minors & specialisations Last updated: 8 February 2024"
MC-CLIMSCI,"Majors, minors & specialisations Last updated: 9 October 2024"
N12AA,"Majors, minors & specialisations Last updated: 9 February 2024"
GC-HLTHEEE,"Majors, minors & specialisations Last updated: 9 February 2024"
893AA,"Majors, minors & specialisations Last updated: 9 February 2024"
GC-GERON,"Majors, minors & specialisations |*Standard Pathway, Gerontology Nursing*| Prev: Course structure Last updated: 7 October 2024"
SC-GERON,"Majors, minors & specialisations Last updated: 7 October 2024"
B-SCIEXT,"Majors, minors & specialisations Last updated: 16 October 2024"
GC-CNCRNUR,"Majors, minors & specialisations Last updated: 13 February 2024"
MC-GEOG,"Majors, minors & specialisations Last updated: 13 February 2024"
D-MUSIC,"Majors, minors & specialisations Last updated: 28 August 2024"
MC-SCIBIO,"Majors, minors & specialisations Last updated: 13 February 2024"
841AC,"Majors, minors & specialisations Last updated: 13 February 2024"
GC-SCIED10,"Majors, minors & specialisations Last updated: 10 February 2024"
GC-MTHED10,"Majors, minors & specialisations Last updated: 10 February 2024"
MC-ASW,"Majors, minors & specialisations Last updated: 25 October 2024"
GC-GENOHLT,"Majors, minors & specialisations Last updated: 12 March 2024"
M04AA,"Majors, minors & specialisations Last updated: 13 March 2024"
MC-DATASC,"Majors, minors & specialisations Last updated: 14 March 2024"
031AA,"Majors, minors & specialisations Last updated: 20 March 2024"
GC-GARDES,"Majors, minors & specialisations Last updated: 21 March 2024"
GD-URBHORT,"Majors, minors & specialisations Last updated: 21 March 2024"
305BB,"Majors, minors & specialisations Last updated: 21 March 2024"
GC-URBHORT,"Majors, minors & specialisations Last updated: 21 March 2024"
MC-SCM150,"Majors, minors & specialisations Last updated: 23 March 2024"
GD-DATASC,"Majors, minors & specialisations Last updated: 6 September 2024"
MC-FINANCE,"Majors, minors & specialisations Last updated: 29 August 2024"
MC-FINENH,"Majors, minors & specialisations Last updated: 29 August 2024"
MC-COMMGMT,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-ECOSMC,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-COMACT,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-COMFIN,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-COMMKTG,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-COMDRFS,"Majors, minors & specialisations Last updated: 4 April 2024"
GC-MLED,"Majors, minors & specialisations Last updated: 9 April 2024"
MC-SCM150,"Majors, minors & specialisations Last updated: 23 March 2024"
GD-DATASC,"Majors, minors & specialisations Last updated: 6 September 2024"
MC-FINANCE,"Majors, minors & specialisations Last updated: 29 August 2024"
MC-FINENH,"Majors, minors & specialisations Last updated: 29 August 2024"
MC-COMACT,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-COMFIN,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-COMMGMT,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-COMMKTG,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-COMDRFS,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-ECOSMC,"Majors, minors & specialisations Last updated: 4 April 2024"
PR-APPDA,"Majors, minors & specialisations Last updated: 17 April 2024"
GC-APPDA,"Majors, minors & specialisations Last updated: 17 April 2024"
GC-UCH,"Majors, minors & specialisations Last updated: 17 April 2024"
GD-SURGANT,"Majors, minors & specialisations Last updated: 18 October 2024"
GC-ASW,"Majors, minors & specialisations Last updated: 25 October 2024"
MR-PHILDSC,"Majors, minors & specialisations Last updated: 25 April 2024"
J17RE,"Majors, minors & specialisations Last updated: 25 April 2024"
MR-PHILBMS,"Majors, minors & specialisations Last updated: 25 April 2024"
552AA,"Majors, minors & specialisations Last updated: 25 April 2024"
MR-PHILHLT,"Majors, minors & specialisations Last updated: 25 April 2024"
572AT,"Majors, minors & specialisations Last updated: 25 April 2024"
MR-PHILPGH,"Majors, minors & specialisations Last updated: 25 April 2024"
MR-PHILPSY,"Majors, minors & specialisations Last updated: 25 April 2024"
MC-JURISD,"Majors, minors & specialisations Last updated: 2 October 2024"
439FS,"Majors, minors & specialisations Last updated: 30 April 2024"
MC-CS,"Majors, minors & specialisations Last updated: 30 April 2024"
MC-MTRNENG,"Majors, minors & specialisations Master of Mechatronics Engineering- Specialisations |*Manufacturing*| Prev: Course structure Last updated: 1 May 2024"
MC-MGMTAFN,"Majors, minors & specialisations Last updated: 29 August 2024"
MC-DVETMED,"Majors, minors & specialisations Last updated: 1 May 2024"
B-FATH,"Majors, minors & specialisations Last updated: 2 May 2024"
B-FAACTING,"Majors, minors & specialisations Last updated: 2 May 2024"
B-FAFILMTV,"Majors, minors & specialisations Last updated: 2 May 2024"
B-FASCWRI,"Majors, minors & specialisations Last updated: 2 May 2024"
B-FAMUSTH,"Majors, minors & specialisations Last updated: 2 May 2024"
J15AA,"Majors, minors & specialisations Last updated: 2 May 2024"
B-FAPRO,"Majors, minors & specialisations Last updated: 2 May 2024"
B-FADANCE,"Majors, minors & specialisations Last updated: 2 May 2024"
B-FAANIM,"Majors, minors & specialisations Last updated: 2 May 2024"
MC-DNCE,"Majors, minors & specialisations Last updated: 3 May 2024"
MC-NURSC,"Majors, minors & specialisations Last updated: 6 May 2024"
MC-NURSC,"Majors, minors & specialisations Last updated: 6 May 2024"
MC-GENOHLT,"Majors, minors & specialisations Last updated: 1 October 2024"
GC-INNOVP,"Majors, minors & specialisations Last updated: 30 October 2024"
MC-BAPTME,"Majors, minors & specialisations Last updated: 11 May 2024"
GC-IRL,"Majors, minors & specialisations Last updated: 10 September 2024"
GC-DTHLTH,"Majors, minors & specialisations Last updated: 11 October 2024"
MC-PSYCHED,"Majors, minors & specialisations Last updated: 17 May 2024"
MC-TESOL,"Majors, minors & specialisations |*EAL Teaching*| Prev: Course structure Next: Further study Last updated: 17 May 2024"
GD-BA,"Majors, minors & specialisations Last updated: 24 May 2024"
MC-BUSANA,"Majors, minors & specialisations Last updated: 24 May 2024"
MC-BA218,"Majors, minors & specialisations Last updated: 24 May 2024"
PR-BA,"Majors, minors & specialisations Last updated: 24 May 2024"
MC-BAEV,"Majors, minors & specialisations Last updated: 24 May 2024"
MR-RESMED,"Majors, minors & specialisations Last updated: 15 October 2024"
294PN,"Majors, minors & specialisations Last updated: 24 May 2024"
GC-BA,"Majors, minors & specialisations Last updated: 24 May 2024"
GD-MKTG,"Majors, minors & specialisations Last updated: 24 May 2024"
960BA,"Majors, minors & specialisations Last updated: 17 October 2024"
300BB,"Majors, minors & specialisations Last updated: 16 October 2024"
DR-PHILEDU,"Majors, minors & specialisations Last updated: 16 October 2024"
MC-BAOL,"Majors, minors & specialisations Last updated: 25 May 2024"
PR-BAOL,"Majors, minors & specialisations Last updated: 25 May 2024"
GC-BAOL,"Majors, minors & specialisations Last updated: 25 May 2024"
572RC,"Majors, minors & specialisations Last updated: 28 May 2024"
GC-DPHLTH,"Majors, minors & specialisations Last updated: 18 October 2024"
MC-SCICHE,"Majors, minors & specialisations Last updated: 31 May 2024"
GC-DTACP,"Majors, minors & specialisations Last updated: 25 October 2024"
GC-BUS,"Majors, minors & specialisations Last updated: 6 June 2024"
MC-ADVNPPH,"Majors, minors & specialisations Last updated: 5 June 2024"
MC-ANP,"Majors, minors & specialisations Last updated: 5 September 2024"
MC-TEACHSI,"Majors, minors & specialisations Last updated: 6 June 2024"
GC-EDLD,"Majors, minors & specialisations Last updated: 18 June 2024"
GC-EVALO,"Majors, minors & specialisations Last updated: 18 June 2024"
GC-EDRES,"Majors, minors & specialisations Last updated: 18 June 2024"
MC-INSLEAD,"Majors, minors & specialisations Last updated: 18 June 2024"
MC-EVALO,"Majors, minors & specialisations Last updated: 11 September 2024"
GC-ECHRES,"Majors, minors & specialisations Last updated: 18 June 2024"
DH-DSC,"Majors, minors & specialisations Last updated: 18 June 2024"
510AA,"Majors, minors & specialisations Last updated: 19 June 2024"
195AA,"Majors, minors & specialisations Last updated: 19 June 2024"
742AB,"Majors, minors & specialisations Last updated: 19 June 2024"
GD-ENV,"Majors, minors & specialisations Tailored Elective Subjects Elective Subjects This list of elective subjects available for the GD-ENV Graduate Diploma in Environment are sourced from the Master of Environment’s Tailored specialisation, please see below: |*Tailored specialisation*| Prev: Course structure Next: Further study Last updated: 19 June 2024"
MC-ARCPROP,"Majors, minors & specialisations Last updated: 20 June 2024"
GC-ENVDES,"Majors, minors & specialisations Last updated: 20 June 2024"
DR-PHILABP,"Majors, minors & specialisations Last updated: 8 October 2024"
PR-TRANS,"Majors, minors & specialisations Last updated: 20 June 2024"
MR-PHILABP,"Majors, minors & specialisations Last updated: 10 October 2024"
MC-UPUD,"Majors, minors & specialisations Last updated: 20 June 2024"
MC-URPL,"Majors, minors & specialisations Last updated: 20 June 2024"
GC-TRANS,"Majors, minors & specialisations Last updated: 20 June 2024"
192AA,"Majors, minors & specialisations Last updated: 20 June 2024"
507AA,"Majors, minors & specialisations Last updated: 20 June 2024"
191AA,"Majors, minors & specialisations Last updated: 21 June 2024"
189AA,"Majors, minors & specialisations Last updated: 30 October 2024"
187AA,"Majors, minors & specialisations Last updated: 30 October 2024"
SC-TAX,"Majors, minors & specialisations Last updated: 21 June 2024"
636AA,"Majors, minors & specialisations Last updated: 21 June 2024"
