Subject Code,Prerequisites
BIOL90018,Prerequisites One of Code Name Teaching period Credit Points BIOL90012 BioSciences Research Project Part 3 Semester 1 (Extended) (On Campus - Parkville) Semester 2 (Extended) (On Campus - Parkville) 12.5 BIOL90013 BioSciences Research Project Part 3 Semester 2 (Extended) (On Campus - Parkville) Semester 1 (Extended) (On Campus - Parkville) 25 BIOL90014 BioSciences Research Project Part 3 Semester 2 (Extended) (On Campus - Parkville) Semester 1 (Extended) (On Campus - Parkville) 37.5 BIOL90015 BioSciences Research Project Part 3 Semester 2 (Extended) (On Campus - Parkville) Semester 1 (Extended) (On Campus - Parkville) 50
CREA90017,Prerequisites Code Name Teaching period Credit Points CREA90002 Arts for Health and Wellbeing Semester 1 (Early-Start) (Dual-Delivery - Southbank) 12.5
POPH90070,Prerequisites Students must have a clinical background to do this subject.
AHIS40008,Prerequisites None
CHEM10008,Prerequisites None
FRST90033,Prerequisites None
ACCT90019,"Prerequisites Admission into one of the following: MC-COMACT Master of Commerce (Accounting), DR-PHILBE Doctor of Philosophy - Business and Economics"
CLRS90011,Prerequisites Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points CLRS90027 Principles of Clinical Research February (On Campus - Parkville) 12.5
BIOL90034,Prerequisites None
ABPL90363,"Prerequisites Students  must meet one of the following prerequisites options Option 1 Admission into the following course
MC-PROP Master  of Property Completion of a minimum of 50 credit points of study Option 2 Approval  from the subject coordinator"
PHTY90094,Prerequisites None
PHYC90011,Prerequisites All of Code Name Teaching period Credit Points PHYC90007 Quantum Mechanics Semester 1 (On Campus - Parkville) 12.5 PHYC90008 Quantum Field Theory Semester 1 (On Campus - Parkville) 12.5
PSYC90116,Prerequisites All of Code Name Teaching period Credit Points PSYC90006 Basic Interventions Semester 1 (On Campus - Parkville) 6.25 PSYC90007 Cognitive-Behaviour Therapy Semester 1 (On Campus - Parkville) 6.25 PSYC90011 Introduction to Assessment and Diagnosis Summer Term (On Campus - Parkville) 6.25 PSYC90031 Adult Psychopathology Summer Term (On Campus - Parkville) 6.25 PSYC90114 Professional Psychology Skills 2 January (On Campus - Parkville) 18.75 PSYC90115 Professional Psychology Placement 1 Semester 1 (On Campus - Parkville) 18.75
ANSC90007,Prerequisites None
MUSI90232,Prerequisites None
AGRI30022,Prerequisites This subject is available to students who have completed a minimum of 150 points of their course. This would normally comprise 100 points of 100 level subjects and 50 points of 200 level subjects.
BUSA90517,Prerequisites None
GEOG90031,Prerequisites Code Name Teaching period Credit Points GEOG90029 Research Methods in Geography February (On Campus - Parkville) 12.5
DNCE90016,Prerequisites None
MEDI90141,Prerequisites All of Code Name Teaching period Credit Points MEDI90129 Clinical Ultrasound - Core Concepts Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 6.25 Note: these can be taken concurrently (at the same time)
FNCE90066,Prerequisites Admission to a graduate coursework program in finance and subject to approval by the program director
MGMT90172,Prerequisites None
ECOM90015,Prerequisites Code Name Teaching period Credit Points ECOM40006 Econometrics 3 Semester 1 (On Campus - Parkville) 12.5 OR Equivalent AND Approval of Department of Economics Graduate Programs Director.
LAWS50080,Prerequisites All of Code Name Teaching period Credit Points LAWS50023 Legal Method and Reasoning Summer Term (Dual-Delivery - Parkville) 12.5 LAWS50024 Principles of Public Law Semester 1 (On Campus - Parkville) 12.5 LAWS50025 Torts Semester 1 (On Campus - Parkville) 12.5 LAWS50026 Obligations Semester 1 (On Campus - Parkville) 12.5 LAWS50027 Dispute Resolution No longer available LAWS50029 Contracts Semester 2 (On Campus - Parkville) 12.5 AND Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points LAWS50030 Property Semester 1 (On Campus - Parkville) 12.5
ABPL90420,Prerequisites None
ABPL90310,Prerequisites Admission into one of the following: MC-ARCH Master of Architecture MC-LARCH Master of Landscape Architecture MC-CM Master of Construction Management MC-PROP Master of Property MC-ARCHCM Master of Architecture/Master of Construction Management MC-CMPROP Master of Construction Management/Master of Property OR Approval from the subject coordinator.
ELEN90046,Prerequisites ELEN90042 Analogue Electronics ELEN90047 Mixed Signal Design ELEN90050  RF Systems and Architecture ELEN90049 RF Electronics and Design
SKIL90005,"Prerequisites The student must be admitted to a graduate research course and be actively enrolled in their thesis subject, or under examination. Completion of Research Integrity online training (RIOT) Approval to participate in the internship program from the Graduate Research Internships team and the Principal Supervisor Completion of a student deed, as part of an Intern Agreement signed by the University and the host organisation"
EVSC90033,"Prerequisites Undergraduate degree in science, technology, engineering, mathematics or equivalent professional experience."
PSYC20001,Prerequisites 512-121 (or equivalent).
LAWS90190,Prerequisites Admission into the MC-JURISD Juris Doctor AND All of Code Name Teaching period Credit Points LAWS50023 Legal Method and Reasoning Summer Term (Dual-Delivery - Parkville) 12.5 LAWS50024 Principles of Public Law Semester 1 (On Campus - Parkville) 12.5 LAWS50025 Torts Semester 1 (On Campus - Parkville) 12.5 LAWS50026 Obligations Semester 1 (On Campus - Parkville) 12.5 LAWS50028 Constitutional Law Semester 2 (On Campus - Parkville) 12.5 LAWS50029 Contracts Semester 2 (On Campus - Parkville) 12.5 LAWS50031 Legal Theory Semester 2 (On Campus - Parkville) November (On Campus - Parkville) 12.5 AND One of Code Name Teaching period Credit Points LAWS90140 Disputes and Ethics Semester 2 (On Campus - Parkville) 12.5 LAWS50027 Dispute Resolution No longer available
FNCE40008,Prerequisites Admission into the BH-COM Bachelor of Commerce (Degree with Honours)
LAWS90244,Prerequisites All of Code Name Teaching period Credit Points LAWS50023 Legal Method and Reasoning Summer Term (Dual-Delivery - Parkville) 12.5 LAWS50024 Principles of Public Law Semester 1 (On Campus - Parkville) 12.5 LAWS50028 Constitutional Law Semester 2 (On Campus - Parkville) 12.5 LAWS50029 Contracts Semester 2 (On Campus - Parkville) 12.5 LAWS50031 Legal Theory Semester 2 (On Campus - Parkville) November (On Campus - Parkville) 12.5 AND Code Name Teaching period Credit Points LAWS50032 Administrative Law Semester 1 (On Campus - Parkville) 12.5 Note: these can be taken concurrently (at the same time)
COMP90046,"Prerequisites Students must meet one of the following prerequisite options: Option 1 One of Code Name Teaching period Credit Points COMP20003 Algorithms and Data Structures Semester 2 (On Campus - Parkville) 12.5 COMP20007 Design of Algorithms Semester 1 (On Campus - Parkville) 12.5 COMP90038 Algorithms and Complexity Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 COMP90048 Declarative Programming Semester 1 (On Campus - Parkville) 12.5 COMP20006 Programming the Machine Option 2 Admission into one of the following: 100pt Program course entry point in the MC-IT Master of Information Technology, 150pt Program course entry point in the MC-IT Master of Information Technology AND Selection of the Distributed Computing specialisation (formal) in the MC-IT Master of Information Technology Option 3 Admission into the 100pt Program course entry point in the MC-IT Master of Information Technology AND Selection of the Computing specialisation (formal) in the MC-IT Master of Information Technology Option 4 Admission into the MC-CS Master of Computer Science"
ABPL90423,Prerequisites Admission into one of the following: MC-ARCH Master of Architecture MC-LARCH Master of Landscape Architecture MC-URBDES Master of Urban Design MC-ARCLARC Master of Architecture/Master of Landscape Architecture MC-LARCHUP Master of Landscape Architecture/Master of Urban Planning MC-LARCHUD Master of Landscape Architecture/Master of Urban Design
ENEN80001,Prerequisites None
ABPL90354,Prerequisites Admission into one of the following: MC-ARCH Master of Architecture MC-URBDES Master of Urban Design OR Approval from the course coordinator.
ELEN90007,Prerequisites Admission into the 364AA Master of Telecommunications Engineering OR Code Name Teaching period Credit Points ELEN90051 Advanced Communication Systems Semester 1 (On Campus - Parkville) 12.5 OR ELEN40003 Digital Communications
ECON90024,Prerequisites One of Code Name Teaching period Credit Points ECON90002 Microeconomics Semester 1 (On Campus - Parkville) 12.5 ECON40001 Advanced Microeconomics Semester 1 (On Campus - Parkville) 12.5
MKTG90019,Prerequisites None
DNCE20040,Prerequisites All of Code Name Teaching period Credit Points DNCE10030 Dance Lab 1: Studio Practices Semester 1 (On Campus - Southbank) 18.75 DNCE10031 Dance Lab 2: Integrated Practices Semester 2 (On Campus - Southbank) 25 DNCE20034 Dance Lab 3: Repertory Studies Semester 1 (On Campus - Southbank) 25
MCEN90007,Prerequisites None
ABPL90293,Prerequisites Students must meet one of the following prerequisite options: Option 1 Admission into or selection of one of the following: MC-ARCHCM Master of Architecture/Master of Construction Management MC-CMPROP Master of Construction Management/Master of Property 300pt Program course entry point in the MC-CM Master of Construction Management AND All of Code Name Teaching period Credit Points ABPL90292 Construction of Buildings Semester 1 (On Campus - Parkville) 12.5 ABPL90324 Materials and Structures Semester 1 (On Campus - Parkville) 12.5 Option 2 Approval from the Course Coordinator
GEOG90019,Prerequisites None
LAWS50067,Prerequisites All of Code Name Teaching period Credit Points LAWS50023 Legal Method and Reasoning Summer Term (Dual-Delivery - Parkville) 12.5 LAWS50024 Principles of Public Law Semester 1 (On Campus - Parkville) 12.5 LAWS50026 Obligations Semester 1 (On Campus - Parkville) 12.5 AND One of Code Name Teaching period Credit Points LAWS50027 Dispute Resolution No longer available LAWS90140 Disputes and Ethics Semester 2 (On Campus - Parkville) 12.5
ECON40004,Prerequisites Admission into or selection of one of the following: BH-COM Bachelor of Commerce (Degree with Honours) Economics specialisation (formal) in the BH-ARTS Bachelor of Arts (Degree with Honours) AND All of Code Name Teaching period Credit Points ECON30009 Macroeconomics Semester 2 (On Campus - Parkville) 12.5 ECON30010 Microeconomics Semester 1 (On Campus - Parkville) 12.5
PHYC90055,Prerequisites None
ABPL90149,Prerequisites Admission into a course at the Melbourne School of Design.
LARC90001,Prerequisites None
GEOL90044,Prerequisites None
ABPL40055,Prerequisites Bachelor of Design Honours Thesis- I (part 1) and   ABPL40053  Research Methods in Design
ECON90005,Prerequisites One of Code Name Teaching period Credit Points ECON90002 Microeconomics Semester 1 (On Campus - Parkville) 12.5 ECON40001 Advanced Microeconomics Semester 1 (On Campus - Parkville) 12.5
MGMT80001,Prerequisites None
LAWS90078,Prerequisites Admission into the MC-JURISD Juris Doctor AND All of Code Name Teaching period Credit Points LAWS50035 Corporations Law Semester 2 (On Campus - Parkville) 12.5 LAWS50033 Equity and Trusts Semester 2 (On Campus - Parkville) 12.5 LAWS50029 Contracts Semester 2 (On Campus - Parkville) 12.5 LAWS50025 Torts Semester 1 (On Campus - Parkville) 12.5
ELEN90030,Prerequisites Admission into a research higher degree (MPhil or PhD) in Engineering.
SWEN30007,Prerequisites Code Name Teaching period Credit Points SWEN30006 Software Modelling and Design Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5
BUSA90050,Prerequisites None
CVEN90038,Prerequisites None
GENE90004,Prerequisites None
ELEN80001,Prerequisites None
NURS90028,Prerequisites Nursing and Midwifery Board of Australia Registration (Unrestricted) Students must be employed at an affiliated clinical agency and provide documentation of clinical support arrangements necessary to undertake the professional practice portfolio prior to enrolment. NURS90027 Foundations in Cancer & Palliative Care1
ECON90021,Prerequisites One of Code Name Teaching period Credit Points ECON90003 Macroeconomics Semester 1 (On Campus - Parkville) 12.5 ECON40002 Advanced Macroeconomics Semester 1 (On Campus - Parkville) 12.5
ISYS90086,Prerequisites Code Name Teaching period Credit Points INFO90002 Database Systems & Information Modelling Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5
DENT90137,Prerequisites Successful completion of all 1st Year DDS subjects.
BISY40002,Prerequisites Admission into the BH-COM Bachelor of Commerce (Degree with Honours)
CREA80001,Prerequisites None
ECON90028,Prerequisites One of Code Name Teaching period Credit Points ECON40001 Advanced Microeconomics Semester 1 (On Campus - Parkville) 12.5 ECON90002 Microeconomics Semester 1 (On Campus - Parkville) 12.5
ISYS90034,Prerequisites Completion of a minimum of 50 credit points of study  (inclusive of any advanced standing/exempted credit).
CVEN90067,Prerequisites None
PPMN20003,Prerequisites None
SCIE90015,Prerequisites Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points SKIL90004 Project Management in Science Semester 2 (On Campus - Parkville) 12.5
PHTY90104,Prerequisites None
PSYT90062,Prerequisites None
ACCT90021,Prerequisites Admission into one of the following: MC-COMACT Master of Commerce (Accounting) DR-PHILBE Doctor of Philosophy - Business and Economics OR Code Name Teaching period Credit Points ACCT30004 Auditing and Assurance Services Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 or equivalent AND Permission of the Head of Department.
MUSI90242,Prerequisites None
MUSI90235,Prerequisites None
ABPL90383,Prerequisites Admission into one of the following: MC-UCH Master of Urban and Cultural Heritage MC-ARCHUCH Master of Architecture/Master of Urban Cultural Heritage AND One of Code Name Teaching period Credit Points ABPL90020 Measured Drawings & Digital Heritage Semester 1 (On Campus - Parkville) 12.5 ABPL90282 Principles of Heritage and Conservation February (On Campus - Parkville) 12.5 ABPL90355 Issues and Techniques in Global Heritage August (On Campus - Parkville) 12.5 AND One of Code Name Teaching period Credit Points ABPL90089 Australian Architecture Semester 1 (On Campus - Parkville) 12.5 ABPL90117 Twenty-first Century Architecture Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 ABPL90241 Representing and Remembering Place (PG) Not available in 2024 12.5 ABPL90367 Critical&Curatorial Practices in Design Semester 2 (On Campus - Parkville) 12.5
ELEN90086,Prerequisites Admission into a research higher degree (MPhil or PhD) in Engineering.
DENT90139,Prerequisites None
GEOG90024,Prerequisites None
LAWS90134,Prerequisites Admission into the MC-JURISD Juris Doctor AND Code Name Teaching period Credit Points LAWS50030 Property Semester 1 (On Campus - Parkville) 12.5
ACCT90034,Prerequisites Admission into the 261AL Master of Accounting
ABPL90011,Prerequisites Admission into one of the following: 200pt Program course entry point in the MC-PROP Master of Property MC-PROP2Y Master of Property 702PA Graduate Diploma in Property Valuation OR Code Name Teaching period Credit Points ABPL90274 Property Markets and Valuations Semester 1 (On Campus - Parkville) 12.5
MCEN90047,Prerequisites All of Code Name Teaching period Credit Points MCEN90008 Fluid Dynamics Semester 2 (On Campus - Parkville) 12.5 MCEN90015 Thermodynamics Semester 1 (On Campus - Parkville) 12.5
MGMT90212,Prerequisites None
MGMT90216,Prerequisites Code Name Teaching period Credit Points MGMT90215 Introduction to Data Analytics Not available in 2024 6.25
BUSA90516,Prerequisites None
BUSA90086,Prerequisites All of Code Name Teaching period Credit Points BUSA90001 Financial Accounting September (On Campus - Parkville) April (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) 12.5 BUSA90026 Business Strategy July (On Campus - Parkville) September (On Campus - Parkville) April (On Campus - Parkville) April (On Campus - Parkville) January (On Campus - Parkville) 12.5 BUSA90060 Data Analysis January (On Campus - Parkville) July (On Campus - Parkville) September (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90074 Global Business Economics July (On Campus - Parkville) 12.5 BUSA90093 Finance September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90193 Managerial Economics September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90224 Managing People April (On Campus - Parkville) January (On Campus - Parkville) September (On Campus - Parkville) July (On Campus - Parkville) 12.5 BUSA90227 Operations April (On Campus - Parkville) April (On Campus - Parkville) September (On Campus - Parkville) July (On Campus - Parkville) 12.5 BUSA90243 Marketing September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90480 Leadership September (On Campus - Parkville) April (On Campus - Parkville) Summer Term (On Campus - Parkville) June (On Campus - Parkville) April (On Campus - Parkville) 6.25 BUSA90481 Managerial Ethics & Business Environment April (On Campus - Parkville) June (On Campus - Parkville) April (On Campus - Parkville) September (On Campus - Parkville) Summer Term (On Campus - Parkville) 6.25
BUSA90511,Prerequisites Code Name Teaching period Credit Points BUSA90508 Executive Management 4 November (On Campus - Parkville) 25
LAWS90133,Prerequisites Admission into the MC-JURISD Juris Doctor AND All of Code Name Teaching period Credit Points LAWS50028 Constitutional Law Semester 2 (On Campus - Parkville) 12.5 LAWS50029 Contracts Semester 2 (On Campus - Parkville) 12.5 LAWS50023 Legal Method and Reasoning Summer Term (Dual-Delivery - Parkville) 12.5 LAWS50026 Obligations Semester 1 (On Campus - Parkville) 12.5 LAWS50024 Principles of Public Law Semester 1 (On Campus - Parkville) 12.5 LAWS50025 Torts Semester 1 (On Campus - Parkville) 12.5 AND One of Code Name Teaching period Credit Points LAWS50027 Dispute Resolution No longer available LAWS90140 Disputes and Ethics Semester 2 (On Campus - Parkville) 12.5
COMP90056,Prerequisites All of Code Name Teaching period Credit Points COMP90038 Algorithms and Complexity Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 COMP90041 Programming and Software Development Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 OR One of Code Name Teaching period Credit Points COMP20003 Algorithms and Data Structures Semester 2 (On Campus - Parkville) 12.5 COMP20007 Design of Algorithms Semester 1 (On Campus - Parkville) 12.5 OR Admission into the 100pt Program course entry point in the MC-IT Master of Information Technology
BUSA90090,Prerequisites Code Name Teaching period Credit Points BUSA90480 Leadership September (On Campus - Parkville) April (On Campus - Parkville) Summer Term (On Campus - Parkville) June (On Campus - Parkville) April (On Campus - Parkville) 6.25 BUSA90481 Managerial Ethics & Business Environment April (On Campus - Parkville) June (On Campus - Parkville) April (On Campus - Parkville) September (On Campus - Parkville) Summer Term (On Campus - Parkville) 6.25 BUSA90060 Data Analysis January (On Campus - Parkville) July (On Campus - Parkville) September (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90224 Managing People April (On Campus - Parkville) January (On Campus - Parkville) September (On Campus - Parkville) July (On Campus - Parkville) 12.5 BUSA90243 Marketing September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90001 Financial Accounting September (On Campus - Parkville) April (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) 12.5 BUSA90093 Finance September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90193 Managerial Economics September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90482 General Management 1 September (On Campus - Parkville) 62.5 BUSA90483 General Management 2 January (On Campus - Parkville) 43.75 AND Code Name Teaching period Credit Points BUSA90026 Business Strategy July (On Campus - Parkville) September (On Campus - Parkville) April (On Campus - Parkville) April (On Campus - Parkville) January (On Campus - Parkville) 12.5 BUSA90227 Operations April (On Campus - Parkville) April (On Campus - Parkville) September (On Campus - Parkville) July (On Campus - Parkville) 12.5 AND Note: BUSA90026 and BUSA90227 are concurrent pre-requisite and may be done concurrently with the subject.
PHTY90099,Prerequisites Year 1 subjects in DPT program: All of Code Name Teaching period Credit Points PHTY90096 Foundation Physiotherapy Sciences Not available in 2024 25 PHTY90095 Physiotherapy Theory and Practice 1 Not available in 2024 18.75 PHTY90094 Research and Evidence 1 Semester 1 (Early-Start) (On Campus - Parkville) 6.25 PHTY90092 Physiotherapy Theory and Practice 2 Not available in 2024 12.5 PHTY90091 Cardiorespiratory Physiotherapy July (On Campus - Parkville) 12.5 PHTY90090 Musculoskeletal Physiotherapy July (On Campus - Parkville) 12.5 PHTY90089 Neurological Physiotherapy Semester 2 (Early-Start) (On Campus - Parkville) 12.5
ABPL90402,Prerequisites None
MAST90099,Prerequisites All of Code Name Teaching period Credit Points MAST90100 Probability & Inference in Biostatistics Semester 1 (Dual-Delivery - Parkville) 12.5 MAST90102 Foundations of Regression July (Dual-Delivery - Parkville) 12.5 POPH90014 Epidemiology 1 Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5
GEOG90007,"Prerequisites Usually completion of 300 points including at least 50 points from subjects in geography, resource management, urban planning, environmental studies or environmental science at second/third year or by permission of the subject coordinator. Students enrolled in the Master of Contemporary Asian Analysis or Development Studies and student completing a Major in Asian Studies within the BA degree are exempt from these prerequisites."
CVEN90069,Prerequisites None
ACTL40003,Prerequisites Code Name Teaching period Credit Points ACTL40002 Risk Theory I Semester 1 (On Campus - Parkville) 12.5
PHTY90113,Prerequisites None
MAST90100,Prerequisites None
DRAM10034,Prerequisites All of Code Name Teaching period Credit Points DRAM10032 Contextual Studies 1 Semester 1 (On Campus - Southbank) 12.5 DRAM10033 Performance Preparation 1 Semester 1 (On Campus - Southbank) 18.75
COMP90014,Prerequisites Option 1 Code Name Teaching period Credit Points COMP90016 Computational Genomics Semester 1 (On Campus - Parkville) 12.5 Option 2 Admission into the MC-SCIBIF Master of Science (Bioinformatics) AND Completion of 50 points of core subjects Option 3 Admission into the MC-CS Master of Computer Science
DNCE90013,Prerequisites None
DENT90127,Prerequisites Code Name Teaching period Credit Points DENT90059 Preclinical Dental Practice 1 No longer available
SWEN90014,Prerequisites All of Code Name Teaching period Credit Points SWEN30006 Software Modelling and Design Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 SWEN90016 Software Processes and Management Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 Note: these can be taken concurrently (at the same time)
POPH90242,Prerequisites Code Name Teaching period Credit Points POPH90014 Epidemiology 1 Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 AND One of Code Name Teaching period Credit Points MAST90100 Probability & Inference in Biostatistics Semester 1 (Dual-Delivery - Parkville) 12.5 POPH90013 Biostatistics Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5
CHEM90059,Prerequisites None
ENGM90015,Prerequisites None
BIOL90037,Prerequisites None
DPSS90009,Prerequisites None
ECON40002,Prerequisites Admission into or selection of one of the following: BH-COM Bachelor of Commerce (Degree with Honours) MC-ECO Master of Economics GD-ECO Graduate Diploma in Economics Economics specialisation (formal) in the BH-ARTS Bachelor of Arts (Degree with Honours) OR Code Name Teaching period Credit Points ECON30009 Macroeconomics Semester 2 (On Campus - Parkville) 12.5
PHYC40013,Prerequisites One of Code Name Teaching period Credit Points PHYC40009 Physics Research Project Pt1 Semester 1 (Extended) (On Campus - Parkville) Semester 2 (Extended) (On Campus - Parkville) 12.5 PHYC40010 Physics Research Project Pt1 Semester 2 (Extended) (On Campus - Parkville) Semester 1 (Extended) (On Campus - Parkville) 25 PHYC40011 Physics Research Project Pt1 Semester 2 (Extended) (On Campus - Parkville) Semester 1 (Extended) (On Campus - Parkville) 37.5 PHYC40012 Physics Research Project Pt1 Semester 2 (Extended) (On Campus - Parkville) Semester 1 (Extended) (On Campus - Parkville) 50
AMGT90017,Prerequisites None
MAST10014,Prerequisites Admission into one of the following: B-SCIEXT Bachelor of Science (Extended) B-ARTSEXT Bachelor of Arts (Extended)
ELEN90008,Prerequisites 4-year Electrical Engineering degree OR equivalent
ENGR20005,Prerequisites Option 1 One of Code Name Teaching period Credit Points MAST10005 Calculus 1 No longer available MAST10007 Linear Algebra No longer available MAST10008 Accelerated Mathematics 1 No longer available MAST10022 Linear Algebra: Advanced No longer available OR Option 2 Admission into or selection of one of the following: MC-MECHENG Master of Mechanical Engineering MC-DINFENG Master of Digital Infrastructure Engineering Mechanical specialisation (formal) in the MC-ENG Master of Engineering Mechanical with Business specialisation (formal) in the MC-ENG Master of Engineering Mechanical with Aerospace specialisation (formal) in the MC-ENG Master of Engineering
BINF90012,Prerequisites None
CVEN90073,Prerequisites None
SCIE90032,Prerequisites Admission into the MC-COMPBIO Master of Computational Biology AND An average of at least 80% in associated coursework in the Master of Computational Biology; and agreement of a supervisor. Enrolment in second semester of this subject is dependent on successful completion of first semester.
BUSA90193,Prerequisites Code Name Teaching period Credit Points BUSA90480 Leadership September (On Campus - Parkville) April (On Campus - Parkville) Summer Term (On Campus - Parkville) June (On Campus - Parkville) April (On Campus - Parkville) 6.25 BUSA90481 Managerial Ethics & Business Environment April (On Campus - Parkville) June (On Campus - Parkville) April (On Campus - Parkville) September (On Campus - Parkville) Summer Term (On Campus - Parkville) 6.25 Code Name Teaching period Credit Points BUSA90060 Data Analysis January (On Campus - Parkville) July (On Campus - Parkville) September (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90060 is a concurrent pre-requisite and can be done concurrently with the subject
BINF90014,Prerequisites None
MUSI10230,Prerequisites None
DPSS30007,Prerequisites Students must meet one of the following requisite options: Option 1 Admission into the B-FAPRO Bachelor of Fine Arts (Production) AND Code Name Teaching period Credit Points DPSS10010 Production Studio 2 Semester 2 (On Campus - Southbank) 25 AND Submit a 200-word expression of interest OR Option 2 Admission into the Performance Design major in the B-DES Bachelor of Design AND Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points FINA30022 Space Studio Semester 1 (On Campus - Southbank) 12.5 AND Submit a 200-word expression of interest
BUSA90503,Prerequisites All of Code Name Teaching period Credit Points BUSA90501 Advanced Business Analytics July (On Campus - Parkville) 37.5 BUSA90502 Analytics Lab October (On Campus - Parkville) 25
POPH90230,Prerequisites None
